Tanggal,Harga_Tutup,Volume
2023-01-01,1066.579325206476,118039
2023-01-02,1037.1375750935467,211213
2023-01-03,925.4772381416894,134698
2023-01-04,1003.7016866244529,108826
2023-01-05,1036.5613041890294,445700
2023-01-06,970.863853832187,114174
2023-01-07,1021.5173375263643,168974
2023-01-08,1015.0428109011331,375734
2023-01-09,1011.2035825357127,336921
2023-01-10,1003.6326268329902,435826
2023-01-11,1035.3875732339436,94902
2023-01-12,1075.2617588005007,249542
2023-01-13,968.2302329576784,401866
2023-01-14,1069.2708467562782,481713
2023-01-15,1030.6622757370023,76326
2023-01-16,1042.861276245913,456298
2023-01-17,965.1479113864698,197830
2023-01-18,1030.1084922740802,396627
2023-01-19,1098.9521248171038,435256
2023-01-20,972.1086568096372,74254
2023-01-21,928.5861134396321,58092
2023-01-22,941.6775390512084,432831
2023-01-23,1043.5232884198078,452031
2023-01-24,1150.8417731289614,430583
2023-01-25,1089.1515956375042,494098
2023-01-26,1117.9717700060507,234364
2023-01-27,1040.671746506048,227623
2023-01-28,1106.987730942591,35837
2023-01-29,1024.8991390632495,30349
2023-01-30,1070.4953740781466,450735
2023-01-31,1027.8429317751127,32337
2023-02-01,1015.1169668771436,39240
2023-02-02,1050.5914587440416,94772
2023-02-03,1021.5225695833035,363879
2023-02-04,1112.1269507464706,168340
2023-02-05,1057.8275870385778,134494
2023-02-06,1069.461048863167,328563
2023-02-07,1033.9425589698994,169035
2023-02-08,1115.02141538556,428518
2023-02-09,1016.9729534713683,491566
2023-02-10,1087.9566325063704,229052
2023-02-11,1038.7750867466877,15735
2023-02-12,1010.72063970418,54804
2023-02-13,1034.5990732217015,206311
2023-02-14,1020.2100033260626,442421
2023-02-15,1051.1783048776613,215678
2023-02-16,1046.2298008836415,366095
2023-02-17,1080.1689363761006,49746
2023-02-18,1094.1916994168973,116043
2023-02-19,1059.9366794213413,40705
2023-02-20,1067.3860518405095,469299
2023-02-21,1084.5096552451419,375122
2023-02-22,1044.4346178619362,462281
2023-02-23,1108.210198798528,451530
2023-02-24,1116.287061094957,401936
2023-02-25,1085.7284904158244,245188
2023-02-26,1196.6582601673038,332695
2023-02-27,1124.1696501722247,189322
2023-02-28,1074.0567061106217,153005
2023-03-01,1062.934933686844,285498
2023-03-02,1070.808469620378,476674
2023-03-03,1058.7047638114655,213208
2023-03-04,1141.6040928203292,28128
2023-03-05,1051.6479600148757,103938
2023-03-06,1083.8559787212405,192791
2023-03-07,1062.8209102357398,236464
2023-03-08,1142.9684834997538,163684
2023-03-09,1021.1051655717972,480987
2023-03-10,1075.2816342488113,442720
2023-03-11,1088.6849352221254,37381
2023-03-12,1112.1216672084074,116491
2023-03-13,1120.5726176110586,145268
2023-03-14,1088.1116042845729,118512
2023-03-15,1149.7283481496972,471769
2023-03-16,1117.3860405889384,396369
2023-03-17,1226.404530843708,344373
2023-03-18,1028.9795300374435,96600
2023-03-19,1136.7992639196614,392189
2023-03-20,1054.8862302671353,375991
2023-03-21,1068.6160426328713,103726
2023-03-22,1209.1443394613964,340023
2023-03-23,1198.5044436807013,25941
2023-03-24,1019.8280886068053,198583
2023-03-25,1102.872304055839,478978
2023-03-26,1112.0922229990554,451952
2023-03-27,1010.1726363341614,382921
2023-03-28,1115.6903425649305,370418
2023-03-29,1139.1725553595813,218664
2023-03-30,1131.7423781350228,213015
2023-03-31,1022.5330587656944,466531
2023-04-01,1179.011785365506,274677
2023-04-02,1137.2271988323994,147235
2023-04-03,1123.2780248990061,32501
2023-04-04,1090.0526047098679,486791
2023-04-05,1164.7188299468712,413352
2023-04-06,1176.4079630684764,349872
2023-04-07,1107.763474926358,87839
2023-04-08,1137.7211388712342,160742
2023-04-09,1175.9653157484977,324484
2023-04-10,1038.2634049889357,376753
2023-04-11,1143.2364204139692,247822
2023-04-12,1043.3634193300436,378997
2023-04-13,1093.9644268674429,425810
2023-04-14,1164.9710881876686,239833
2023-04-15,1135.6388047057947,316574
2023-04-16,1124.2238516314828,142389
2023-04-17,1130.805202957435,317864
2023-04-18,1189.388452429105,259337
2023-04-19,1183.69317108923,343907
2023-04-20,1110.3618284129152,252707
2023-04-21,1165.7459373404993,101199
2023-04-22,1128.9321648982516,499295
2023-04-23,1274.0624341430214,68275
2023-04-24,1118.2519432943466,336341
2023-04-25,1140.9519687265522,225391
2023-04-26,1140.5229370561583,254341
2023-04-27,1137.3893475296586,286953
2023-04-28,1167.7694941175073,137611
2023-04-29,1175.7403780926777,190025
2023-04-30,1082.533001070749,134451
2023-05-01,1136.1794967571855,353134
2023-05-02,1100.1864139142183,250483
2023-05-03,1229.3926838917582,212486
2023-05-04,1292.2222980591177,114770
2023-05-05,1239.4912818064463,468642
2023-05-06,1189.0149524708559,285707
2023-05-07,1224.20272843863,282644
2023-05-08,1182.791062801536,146831
2023-05-09,1258.6600070480904,195291
2023-05-10,1210.5922826394744,33008
2023-05-11,1167.0740963826925,446031
2023-05-12,1123.4674952233652,186780
2023-05-13,1149.3205511072563,448874
2023-05-14,1198.383833770258,159562
2023-05-15,1122.7741350290312,306394
2023-05-16,1174.3499036195858,285343
2023-05-17,1253.8095023110645,389132
2023-05-18,1189.6522987339717,297422
2023-05-19,1288.829726864909,204730
2023-05-20,1263.292345967477,216886
2023-05-21,1177.9262216251634,352546
2023-05-22,1125.7157900260188,119351
2023-05-23,1192.6528787934742,55315
2023-05-24,1172.3892044219701,127281
2023-05-25,1216.6898521004648,363591
2023-05-26,1279.8962228830974,444606
2023-05-27,1144.3942487882314,279200
2023-05-28,1182.4866795803364,421447
2023-05-29,1219.9142007732792,32000
2023-05-30,1261.418988324425,368948
2023-05-31,1231.5796766138492,299056
2023-06-01,1228.1324644772828,31673
2023-06-02,1276.018679959506,249875
2023-06-03,1234.8406010272495,238583
2023-06-04,1199.6882523122874,172828
2023-06-05,1215.7763454198887,450160
2023-06-06,1178.932141932356,158078
2023-06-07,1242.9925825360674,288577
2023-06-08,1264.157987479974,388077
2023-06-09,1069.4267548535367,340227
2023-06-10,1280.6876622977722,248137
2023-06-11,1218.3278099997167,294208
2023-06-12,1245.571895147416,10487
2023-06-13,1257.0197994873306,451461
2023-06-14,1110.5195588265942,184556
2023-06-15,1166.8518860751758,136246
2023-06-16,1211.366919915086,89554
2023-06-17,1189.826065847232,356087
2023-06-18,1244.477869807236,275213
2023-06-19,1206.3973610192945,374988
2023-06-20,1147.9629236587703,465286
2023-06-21,1265.5049755150374,371788
2023-06-22,1291.2702049644026,454769
2023-06-23,1265.8549889566686,366544
2023-06-24,1203.3710171696362,68212
2023-06-25,1227.3416414569067,479733
2023-06-26,1269.1796450730328,114514
2023-06-27,1273.2918206433976,234242
2023-06-28,1294.8485514367355,413464
2023-06-29,1231.1578205096237,308867
2023-06-30,1176.2087214950354,435037
2023-07-01,1214.6790348953716,191942
2023-07-02,1276.6942404655438,409207
2023-07-03,1288.5723465629226,277285
2023-07-04,1363.9997346884124,409041
2023-07-05,1259.9799501306034,312548
2023-07-06,1267.725231507755,306248
2023-07-07,1248.0031907358537,484352
2023-07-08,1237.9552818593038,335407
2023-07-09,1298.7041441341655,467255
2023-07-10,1278.6628916792033,192314
2023-07-11,1251.9986630765654,53636
2023-07-12,1209.7513945383212,258865
2023-07-13,1258.9563986843832,218120
2023-07-14,1246.9344072181964,53022
2023-07-15,1330.6158294426214,328699
2023-07-16,1316.5870731395287,60252
2023-07-17,1219.4888609905258,366760
2023-07-18,1330.3364403982278,185573
2023-07-19,1244.75280768726,169057
2023-07-20,1281.3821495688276,292032
2023-07-21,1336.2360947973962,188185
2023-07-22,1226.2348791202633,320428
2023-07-23,1286.8661119932817,324748
2023-07-24,1223.696015862813,145884
2023-07-25,1184.5284225422852,231897
2023-07-26,1332.2969238119329,217523
2023-07-27,1285.7520277056153,72037
2023-07-28,1244.5959058227525,491991
2023-07-29,1207.7603240455198,208793
2023-07-30,1268.3878974929526,152109
2023-07-31,1356.9441290479162,93980
2023-08-01,1311.3322458832135,238357
2023-08-02,1273.9443467605743,394871
2023-08-03,1260.3548721326267,234952
2023-08-04,1300.620274469458,255618
2023-08-05,1219.3380271574201,197685
2023-08-06,1365.3172486083347,319545
2023-08-07,1324.610008532374,470745
2023-08-08,1360.5417059473382,329734
2023-08-09,1274.022518637995,26676
2023-08-10,1346.3128663870618,155670
2023-08-11,1339.340291228131,353317
2023-08-12,1229.665245404172,491329
2023-08-13,1315.140342741152,413521
2023-08-14,1324.8214924770173,133782
2023-08-15,1281.6936772369381,325778
2023-08-16,1293.8046300917142,122045
2023-08-17,1334.9960780134502,85361
2023-08-18,1312.6645454597879,425204
2023-08-19,1265.6982483077613,393197
2023-08-20,1346.8803466392085,150402
2023-08-21,1330.072186873579,58304
2023-08-22,1332.513877949262,404542
2023-08-23,1326.2167332654574,324584
2023-08-24,1345.2532843368888,166626
2023-08-25,1309.8757237928414,251444
2023-08-26,1282.4115355796,73106
2023-08-27,1289.8318349845565,213209
