id_transaksi,tanggal,produk_id,nama_produk,kategori,harga,jumlah,kota,total_harga
1,2023-01-01,P039,Produk-1,Olahraga,1054001,12,Jakarta,12648012
2,2023-01-02,P029,Produk-6,Olahraga,362023,11,Jakarta,3982253
3,2023-01-03,P015,Produk-6,Elektronik,1158447,5,Surabaya,5792235
4,2023-01-04,P043,Produk-16,Pakaian,1079127,18,Medan,19424286
5,2023-01-05,P008,Produk-4,Buku,1581180,19,Jakarta,30042420
6,2023-01-06,P021,Produk-11,Pakaian,541862,6,Surabaya,3251172
7,2023-01-07,P039,Produk-9,Pakaian,1130750,18,Bandung,20353500
8,2023-01-08,P019,Produk-3,Elektronik,805111,6,Surabaya,4830666
9,2023-01-09,P023,Produk-19,Elektronik,273563,4,Surabaya,1094252
10,2023-01-10,P011,Produk-8,Elektronik,187653,12,Surabaya,2251836
11,2023-01-11,P011,Produk-5,Elektronik,160155,19,Jakarta,3042945
12,2023-01-12,P024,Produk-4,Olahraga,383997,2,Jakarta,767994
13,2023-01-13,P036,Produk-6,Elektronik,1949054,17,Bandung,33133918
14,2023-01-14,P040,Produk-2,Olahraga,1410398,11,Makassar,15514378
15,2023-01-15,P024,Produk-20,Olahraga,1600184,11,Makassar,17602024
16,2023-01-16,P003,Produk-11,Elektronik,1911657,16,Makassar,30586512
17,2023-01-17,P022,Produk-4,Makanan,1226371,2,Bandung,2452742
18,2023-01-18,P002,Produk-15,Buku,138668,2,Makassar,277336
19,2023-01-19,P024,Produk-6,Pakaian,787685,8,Makassar,6301480
20,2023-01-20,P044,Produk-17,Olahraga,719927,13,Surabaya,9359051
21,2023-01-21,P030,Produk-6,Buku,1572196,10,Jakarta,15721960
22,2023-01-22,P038,Produk-19,Makanan,1974914,8,Jakarta,15799312
23,2023-01-23,P002,Produk-2,Pakaian,1862005,4,Surabaya,7448020
24,2023-01-24,P021,Produk-15,Pakaian,1718883,15,Surabaya,25783245
25,2023-01-25,P033,Produk-11,Olahraga,1029448,1,Surabaya,1029448
26,2023-01-26,P012,Produk-8,Elektronik,1963010,11,Jakarta,21593110
27,2023-01-27,P022,Produk-19,Makanan,603091,7,Makassar,4221637
28,2023-01-28,P044,Produk-13,Olahraga,723590,17,Surabaya,12301030
29,2023-01-29,P025,Produk-12,Makanan,723222,18,Bandung,13017996
30,2023-01-30,P049,Produk-5,Elektronik,1535147,12,Surabaya,18421764
31,2023-01-31,P027,Produk-6,Elektronik,998763,9,Medan,8988867
32,2023-02-01,P042,Produk-4,Olahraga,1328723,5,Surabaya,6643615
33,2023-02-02,P028,Produk-19,Elektronik,1054949,10,Jakarta,10549490
34,2023-02-03,P016,Produk-20,Buku,605083,4,Surabaya,2420332
35,2023-02-04,P015,Produk-1,Pakaian,1606396,5,Medan,8031980
36,2023-02-05,P047,Produk-20,Olahraga,320914,10,Bandung,3209140
37,2023-02-06,P044,Produk-17,Makanan,1633957,11,Makassar,17973527
38,2023-02-07,P003,Produk-12,Buku,1491985,10,Surabaya,14919850
39,2023-02-08,P037,Produk-15,Olahraga,412455,8,Medan,3299640
40,2023-02-09,P007,Produk-1,Elektronik,329713,2,Medan,659426
41,2023-02-10,P021,Produk-14,Elektronik,1084586,8,Bandung,8676688
42,2023-02-11,P009,Produk-6,Elektronik,1896198,16,Jakarta,30339168
43,2023-02-12,P039,Produk-5,Elektronik,1947832,5,Surabaya,9739160
44,2023-02-13,P018,Produk-11,Makanan,1796688,3,Medan,5390064
45,2023-02-14,P004,Produk-4,Buku,1786263,12,Bandung,21435156
46,2023-02-15,P025,Produk-13,Pakaian,1402790,13,Makassar,18236270
47,2023-02-16,P014,Produk-11,Makanan,1053429,13,Medan,13694577
48,2023-02-17,P050,Produk-3,Makanan,614485,10,Bandung,6144850
49,2023-02-18,P009,Produk-1,Pakaian,1625125,4,Jakarta,6500500
50,2023-02-19,P026,Produk-6,Pakaian,207584,9,Jakarta,1868256
51,2023-02-20,P002,Produk-18,Elektronik,974220,2,Medan,1948440
52,2023-02-21,P020,Produk-10,Makanan,1447515,19,Medan,27502785
53,2023-02-22,P028,Produk-5,Olahraga,341077,1,Surabaya,341077
54,2023-02-23,P047,Produk-10,Pakaian,1074729,7,Bandung,7523103
55,2023-02-24,P007,Produk-12,Pakaian,709738,17,Medan,12065546
56,2023-02-25,P044,Produk-2,Buku,1663447,3,Surabaya,4990341
57,2023-02-26,P008,Produk-13,Olahraga,424226,3,Surabaya,1272678
58,2023-02-27,P047,Produk-8,Olahraga,1970379,3,Medan,5911137
59,2023-02-28,P035,Produk-2,Pakaian,1782969,17,Jakarta,30310473
60,2023-03-01,P014,Produk-20,Elektronik,1515792,7,Bandung,10610544
61,2023-03-02,P017,Produk-1,Buku,1209608,14,Bandung,16934512
62,2023-03-03,P036,Produk-5,Olahraga,1305516,17,Jakarta,22193772
63,2023-03-04,P050,Produk-9,Pakaian,1403324,18,Medan,25259832
64,2023-03-05,P040,Produk-17,Olahraga,511552,13,Bandung,6650176
65,2023-03-06,P004,Produk-9,Buku,1980082,18,Medan,35641476
66,2023-03-07,P002,Produk-11,Buku,1325303,4,Medan,5301212
67,2023-03-08,P006,Produk-15,Makanan,123869,1,Surabaya,123869
68,2023-03-09,P042,Produk-6,Pakaian,1890418,18,Jakarta,34027524
69,2023-03-10,P004,Produk-3,Buku,919807,1,Medan,919807
70,2023-03-11,P029,Produk-17,Makanan,1809980,13,Makassar,23529740
71,2023-03-12,P018,Produk-5,Makanan,768675,10,Jakarta,7686750
72,2023-03-13,P026,Produk-12,Olahraga,1981063,11,Bandung,21791693
73,2023-03-14,P044,Produk-18,Olahraga,252416,9,Surabaya,2271744
74,2023-03-15,P034,Produk-14,Makanan,1709580,9,Bandung,15386220
75,2023-03-16,P010,Produk-11,Olahraga,628533,5,Bandung,3142665
76,2023-03-17,P036,Produk-9,Buku,617344,1,Jakarta,617344
77,2023-03-18,P014,Produk-2,Elektronik,1509501,17,Bandung,25661517
78,2023-03-19,P031,Produk-12,Buku,825024,2,Medan,1650048
79,2023-03-20,P048,Produk-3,Makanan,1419277,13,Bandung,18450601
80,2023-03-21,P015,Produk-3,Makanan,1378263,9,Surabaya,12404367
81,2023-03-22,P008,Produk-1,Buku,480634,4,Surabaya,1922536
82,2023-03-23,P014,Produk-8,Olahraga,799971,5,Makassar,3999855
83,2023-03-24,P023,Produk-8,Olahraga,546507,11,Surabaya,6011577
84,2023-03-25,P040,Produk-11,Makanan,1081008,19,Bandung,20539152
85,2023-03-26,P021,Produk-9,Pakaian,1981046,3,Surabaya,5943138
86,2023-03-27,P016,Produk-5,Olahraga,1508516,12,Jakarta,18102192
87,2023-03-28,P045,Produk-14,Buku,315972,19,Surabaya,6003468
88,2023-03-29,P018,Produk-3,Olahraga,1215232,19,Medan,23089408
89,2023-03-30,P047,Produk-5,Buku,1115663,13,Jakarta,14503619
90,2023-03-31,P024,Produk-5,Makanan,1392057,7,Makassar,9744399
91,2023-04-01,P026,Produk-19,Olahraga,186554,15,Medan,2798310
92,2023-04-02,P025,Produk-14,Buku,1950341,7,Bandung,13652387
93,2023-04-03,P045,Produk-4,Makanan,535757,8,Bandung,4286056
94,2023-04-04,P041,Produk-13,Pakaian,232024,5,Bandung,1160120
