toko_id,kota,penjualan,keuntungan,latitude,longitude
T001,Makassar,964732137,393899617,-5.234666933966026,119.42594253894464
T002,Bandung,808247721,202595044,-6.868035265263638,107.5201283907838
T003,Medan,134164765,427470937,3.6862551854344856,98.77084166027947
T004,Medan,950921754,185436716,3.6177119103390973,98.5805546425372
T005,Makassar,185391168,100640638,-5.18948401157602,119.40988958080611
T006,Bandung,206946300,298553395,-6.882526156314142,107.62681134013633
T007,Jakarta,607250878,172116918,-6.157590242643721,106.89434668751085
T008,Bandung,299246550,242269610,-6.885709942692279,107.6836224223321
T009,Surabaya,999200738,357905884,-7.327613936861291,112.77387732820893
T010,Surabaya,196164876,85289607,-7.162304886346059,112.73172045819517
T011,Jakarta,572470150,107883377,-6.108923309635824,106.88289574383245
T012,Makassar,310462626,323255634,-5.162074893440872,119.50581167726114
T013,Jakarta,221176507,99935591,-6.181272534118226,106.89038098146919
T014,Makassar,689651566,155167852,-5.239074285226621,119.47552728708267
T015,Jakarta,946862196,149601856,-6.102273133087612,106.73555746879559
T016,Medan,851270385,126364844,3.6607489985246597,98.63071588562688
T017,Surabaya,641488477,156170889,-7.229699531514067,112.74918441119749
T018,Medan,316805862,383360942,3.6492169488443373,98.67201067344027
T019,Makassar,178058730,357931576,-5.209394014283483,119.4985746825475
T020,Makassar,912227089,474227810,-5.18546908198143,119.37956735474059
T021,Jakarta,274615375,273568048,-6.250721271142856,106.84891815110977
T022,Jakarta,626532657,336759551,-6.18079017597497,106.79083997949232
T023,Jakarta,639755958,91104811,-6.281619029567246,106.87109651064527
T024,Medan,683701836,437440133,3.6761219970429884,98.6101548658645
T025,Jakarta,214087529,399426581,-6.207544811573855,106.81132545867861
T026,Surabaya,854966710,100641040,-7.268037527009124,112.67271171607268
T027,Jakarta,300836783,438032489,-6.279057739285351,106.7583980348266
T028,Bandung,737827493,261378187,-6.8800191925879775,107.70603493726885
T029,Makassar,493546327,332013546,-5.0836212011315105,119.39520942210157
T030,Bandung,731994005,217406752,-6.8910899657075335,107.697595400818
T031,Medan,257756676,484710052,3.5454045214928267,98.67586061749714
T032,Medan,781818587,270989340,3.654084144317102,98.57880663029505
T033,Jakarta,704650060,95440363,-6.270864113323313,106.87459633646678
T034,Medan,397435369,358018781,3.6624552657959195,98.5813913790265
T035,Jakarta,559864838,396347569,-6.183858925877623,106.8813887056728
T036,Bandung,369850849,436838333,-6.959125437684312,107.52075982214005
T037,Jakarta,863236437,271675886,-6.197351320031252,106.85082226546933
T038,Jakarta,931407774,409074228,-6.174229719387071,106.74914278494923
T039,Makassar,528871531,142094175,-5.195282100281471,119.40057504762522
T040,Makassar,278554675,137319175,-5.077618687908005,119.52255027895907
T041,Makassar,405920247,482080367,-5.1627492582801455,119.42924669462617
T042,Surabaya,133416375,319048498,-7.178532508548953,112.78348527703237
T043,Bandung,145162105,211717070,-6.849906287770493,107.6671470192523
T044,Medan,157556876,152662703,3.516869502831926,98.59298559530745
T045,Jakarta,130680140,142750782,-6.170749178110242,106.8837591516222
T046,Makassar,866332781,152642125,-5.184901086700852,119.51478398774451
T047,Jakarta,831247524,166907219,-6.149189360603366,106.74708413046989
T048,Makassar,709892039,249013481,-5.1384736685104535,119.44124768577896
T049,Medan,914294714,373735064,3.5885197749303432,98.62770102463746
T050,Bandung,338368553,203388099,-6.837926643092588,107.66712934617196
T051,Medan,277992591,344631303,3.5084507119600334,98.57665407857151
T052,Medan,371855403,180735665,3.6084635251735957,98.67350940068829
T053,Medan,562871867,431591018,3.562582219859335,98.72956297107133
T054,Bandung,759915602,254273056,-7.009945332737307,107.66594738155851
T055,Medan,436953919,366963873,3.6477037037405835,98.59263676628673
T056,Medan,472463516,356401611,3.609348131213775,98.73758802174676
T057,Makassar,923814544,297263462,-5.068170932608757,119.37956814602342
T058,Medan,898859141,235111135,3.6166522455143664,98.73255752624337
T059,Bandung,650390819,355036925,-6.949593144113946,107.61842576637248
T060,Medan,367673165,292254587,3.6940439310759094,98.60316515302746
T061,Bandung,447236981,164826225,-6.993857189878138,107.6658081355134
T062,Bandung,783580119,140254909,-7.006479651484242,107.68058259042783
T063,Bandung,945818847,365641694,-6.870475618109584,107.65878022999719
T064,Surabaya,668971425,200288462,-7.282825020142103,112.84496926780538
T065,Medan,306508077,159367148,3.5692930157257075,98.6222288902412
T066,Surabaya,290146164,337951275,-7.1816935687020855,112.69915246539959
T067,Surabaya,421532379,91989708,-7.291541270696922,112.68144601836231
T068,Medan,823343758,325037553,3.674797719376822,98.67888124199014
T069,Medan,828098861,201193210,3.6257975958463247,98.65088976447716
T070,Surabaya,182277225,365370906,-7.2911900912226475,112.72333240974291
T071,Jakarta,238427434,339945568,-6.2880934691175066,106.80806092018638
T072,Makassar,889302112,136407548,-5.197978129471888,119.38690844558582
T073,Medan,559456802,498871403,3.6906826402433697,98.57185207553302
T074,Bandung,244629616,127516641,-6.9359464719532085,107.61335013777028
T075,Bandung,240208358,64500360,-6.984993307710934,107.57417690330163
T076,Makassar,317080722,409016116,-5.18739735015983,119.42195672178597
T077,Medan,301654537,399120094,3.676915155772265,98.75677502280233
T078,Makassar,197028041,492604385,-5.214004656898299,119.36780108136695
T079,Makassar,204189867,237729615,-5.091427986686544,119.45949671560136
T080,Makassar,155969793,401676822,-5.220027073720621,119.46088297925249
T081,Medan,826283551,385409336,3.6892787426875846,98.62725863671133
